"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"Nebraska","July","2023","Age 14-17","Resident Population","Female","55,429"
"Nebraska","July","2023","Age 15-19","Resident Population","Male","72,733"
"Nebraska","July","2023","Age 15-19","Resident Population","Female","68,423"
"Nebraska","July","2023","Age 15-44","Resident Population","Male","407,070"
"Nebraska","July","2023","Age 15-44","Resident Population","Female","385,861"
"Nebraska","July","2023","Age 16 and older","Resident Population","Male","776,898"
"Nebraska","July","2023","Age 16 and older","Resident Population","Female","777,358"
"Nebraska","July","2023","Age 18-24","Resident Population","Male","100,082"
"Nebraska","July","2023","Age 18-24","Resident Population","Female","94,766"
"Nebraska","July","2023","Age 18 and older","Resident Population","Male","747,654"
"Nebraska","July","2023","Age 18 and older","Resident Population","Female","749,727"
"Nebraska","July","2023","Age 20-24","Resident Population","Male","71,542"
"Nebraska","July","2023","Age 20-24","Resident Population","Female","68,020"
"Nebraska","July","2023","Age 25-29","Resident Population","Male","64,494"
"Nebraska","July","2023","Age 25-29","Resident Population","Female","61,195"
"Nebraska","July","2023","Age 25-44","Resident Population","Male","262,795"
"Nebraska","July","2023","Age 25-44","Resident Population","Female","249,418"
"Nebraska","July","2023","Age 30-34","Resident Population","Male","65,056"
"Nebraska","July","2023","Age 30-34","Resident Population","Female","61,833"
"Nebraska","July","2023","Age 35-39","Resident Population","Male","66,624"
"Nebraska","July","2023","Age 35-39","Resident Population","Female","63,024"
"Nebraska","July","2023","Age 40-44","Resident Population","Male","66,621"
"Nebraska","July","2023","Age 40-44","Resident Population","Female","63,366"
"Nebraska","July","2023","Age 45-49","Resident Population","Male","56,821"
"Nebraska","July","2023","Age 45-49","Resident Population","Female","54,229"
"Nebraska","July","2023","Age 45-64","Resident Population","Male","228,376"
"Nebraska","July","2023","Age 45-64","Resident Population","Female","222,398"
"Nebraska","July","2023","Age 50-54","Resident Population","Male","56,207"
